id,content,start,end,group,category,type,icon,style
1,FY19 RPD,6/1/2017,6/1/2018,nwc,document,range,file,
2,2018 AFSDF,2/1/2018,NA,nwc,meeting,point,meeting,
3,NNSA FY21 Budget/SSMP,2/1/2020,NA,nwc,document,point,file,
4,Phase 6.1,10/1/2023,9/30/2024,nwc,program,range,bomb,
5,FY21 Planning Choices,2/1/2019,NA,afcs,document,point,file,
6,FY21 POM,2/1/2019,11/1/2019,afcs,document,range,file,
7,CBA,2/1/2021,11/1/2021,afcs,document,range,file,
8,AoA,2/1/2022,11/1/2022,afcs,document,range,file,
9,FY21 CFSP,5/1/2018,2/15/2019,majcom,document,range,file,
10,FY20 NDO ATC,10/1/2019,NA,majcom,meeting,point,meeting,
11,NPR,2/9/2017,12/15/2017,nwc,,background,whitehouse,background-color: #c7d7fd;
